scenario,seed,policy,unit,unit_type,explored_area_km2,first_coverage_area_km2,damage_hits,kill_credit,targets_damaged,alive,death_time,death_cause
L5_25,302,harness,white_usv1,USV,13650.0,1475.0,2,2,3,False,8848,unknown
L5_25,302,harness,white_usv3,USV,21850.0,250.0,7,8,8,True,,
L5_25,302,harness,white_uav1,UAV,33875.0,8450.0,0,0,0,True,,
L5_25,302,harness,white_uav5,UAV,31025.0,12875.0,0,0,0,True,,
L5_25,302,harness,white_uav2,UAV,31900.0,13600.0,0,0,0,True,,
L5_25,302,harness,white_uav3,UAV,25100.0,8200.0,0,0,0,True,,
L5_25,302,harness,white_uav4,UAV,27200.0,8825.0,0,0,0,True,,
L5_25,303,harness,white_usv2,USV,13900.0,825.0,5,0,5,True,,
L5_25,303,harness,white_usv5,USV,13550.0,2100.0,8,3,7,True,,
L5_25,303,harness,white_usv4,USV,12525.0,0.0,7,3,4,False,9163,unknown
L5_25,303,harness,white_usv1,USV,14575.0,1550.0,5,5,5,True,,
L5_25,303,harness,white_usv3,USV,12800.0,0.0,1,2,3,False,9582,unknown
L5_25,303,harness,white_uav1,UAV,25000.0,13150.0,0,0,0,True,,
L5_25,303,harness,white_uav3,UAV,17900.0,11100.0,0,0,0,True,,
L5_25,303,harness,white_uav5,UAV,25100.0,10625.0,0,0,0,True,,
L5_25,303,harness,white_uav2,UAV,24175.0,8575.0,0,0,0,True,,
L5_25,303,harness,white_uav4,UAV,23100.0,8200.0,0,0,0,True,,
L5_25,304,harness,white_usv3,USV,12475.0,550.0,11,2,4,False,9166,unknown
L5_25,304,harness,white_usv5,USV,12600.0,1250.0,6,3,6,True,,
L5_25,304,harness,white_usv2,USV,13525.0,250.0,5,3,5,True,,
L5_25,304,harness,white_usv1,USV,12925.0,975.0,3,2,3,False,8336,unknown
L5_25,304,harness,white_usv4,USV,12475.0,0.0,1,3,5,False,9460,unknown
L5_25,304,harness,white_uav1,UAV,22750.0,10850.0,0,0,0,True,,
L5_25,304,harness,white_uav3,UAV,15575.0,11900.0,0,0,0,True,,
L5_25,304,harness,white_uav4,UAV,20525.0,7925.0,0,0,0,True,,
L5_25,304,harness,white_uav2,UAV,19150.0,7075.0,0,0,0,True,,
L5_25,304,harness,white_uav5,UAV,21275.0,7175.0,0,0,0,True,,
L5_25,305,harness,white_usv4,USV,12475.0,800.0,10,1,5,False,8964,unknown
L5_25,305,harness,white_usv1,USV,17575.0,2050.0,6,6,8,True,,
L5_25,305,harness,white_usv3,USV,12525.0,0.0,1,2,4,False,8820,unknown
L5_25,305,harness,white_usv2,USV,12625.0,0.0,4,1,4,False,10281,unknown
L5_25,305,harness,white_usv5,USV,12550.0,1575.0,3,2,4,False,9483,unknown
L5_25,305,harness,white_uav2,UAV,45975.0,12875.0,0,0,0,True,,
L5_25,305,harness,white_uav3,UAV,40475.0,10700.0,0,0,0,True,,
L5_25,305,harness,white_uav4,UAV,44325.0,20025.0,0,0,0,True,,
L5_25,305,harness,white_uav1,UAV,49600.0,9150.0,0,0,0,True,,
L5_25,305,harness,white_uav5,UAV,46550.0,19575.0,0,0,0,True,,
L5_30,301,harness,white_usv5,USV,16925.0,2200.0,8,1,11,True,,
L5_30,301,harness,white_usv1,USV,16375.0,2125.0,2,1,6,True,,
L5_30,301,harness,white_usv4,USV,17875.0,0.0,12,3,7,True,,
L5_30,301,harness,white_usv3,USV,12650.0,0.0,4,3,6,False,10598,unknown
L5_30,301,harness,white_usv2,USV,15950.0,0.0,4,7,8,True,,
L5_30,301,harness,white_uav2,UAV,28675.0,12075.0,0,0,0,True,,
L5_30,301,harness,white_uav3,UAV,25300.0,11400.0,0,0,0,True,,
L5_30,301,harness,white_uav5,UAV,27300.0,14675.0,0,0,0,True,,
L5_30,301,harness,white_uav1,UAV,28725.0,10525.0,0,0,0,True,,
L5_30,301,harness,white_uav4,UAV,31300.0,12125.0,0,0,0,True,,
L5_30,302,harness,white_usv3,USV,20325.0,500.0,11,0,6,True,,
L5_30,302,harness,white_usv5,USV,21150.0,1975.0,6,3,8,True,,
L5_30,302,harness,white_usv4,USV,23650.0,150.0,3,3,7,True,,
L5_30,302,harness,white_usv1,USV,21000.0,1975.0,3,4,7,True,,
