policy_id,n,block,group,feature,availability,mean,std,median,p25,p75,n_used
B2_COORDINATED_PRESSURE,10,behavioral,spatial,visible_pairwise_dist_km_median,proxy,76.1224,8.7008,73.2735,68.1965,85.1601,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,visible_y_spread_km_median,proxy,178.0419,22.9062,168.9161,161.1011,198.1771,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,visible_peak_count,proxy,18.4,1.4967,18.5,18,20,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,visible_window_start_s,proxy,1980.3,44.2765,1987.0,1945,2020,10
B2_COORDINATED_PRESSURE,10,behavioral,temporal,first_contact_time,available,1857.3,10.0703,1859.0,1847.0,1865.0,10
B2_COORDINATED_PRESSURE,10,behavioral,temporal,first_engagement_time,available,7394.4,25.0008,7390.5,7375.0,7396.0,10
B2_COORDINATED_PRESSURE,10,behavioral,temporal,first_attack_time,available,8312.6,28.2319,8301.5,8293.0,8327.0,10
B2_COORDINATED_PRESSURE,10,behavioral,temporal,resolution_time,available,26145.0,2148.3995,25815.5,24450.0,28234.0,10
B2_COORDINATED_PRESSURE,10,behavioral,temporal,phase_switch_count,unavailable,,,,,,10
B2_COORDINATED_PRESSURE,10,response,failure,failure_reason,,,,,,,10
B2_COORDINATED_PRESSURE,10,response,outcomes,victory,available,0,0.0,0.0,0,0,10
B2_COORDINATED_PRESSURE,10,response,outcomes,clean_win,available,0,0.0,0.0,0,0,10
B2_COORDINATED_PRESSURE,10,response,outcomes,breakthrough_count,available,0.8,0.6,1.0,0.0,1.0,10
B2_COORDINATED_PRESSURE,10,response,outcomes,white_friendly_losses,available,7.4,5.142,10.5,2.0,12.0,10
B2_COORDINATED_PRESSURE,10,response,outcomes,enemy_kills,available,15.2,1.7776,15.0,15.0,16.0,10
B2_COORDINATED_PRESSURE,10,response,outcomes,explored_ratio,available,0.5325,0.0484,0.5097,0.4952,0.5648,10
B2_COORDINATED_PRESSURE,10,response,outcomes,white_reacquire_count,available,2.3,1.1874,2.0,1.0,3.0,10
B3_ADAPTIVE,10,behavioral,adaptation,adaptive_replan_count,available,619.7,115.1208,587.5,529.0,634.0,10
B3_ADAPTIVE,10,behavioral,adaptation,lane_shift_count,available,235.2,33.265,226.5,210.0,262.0,10
B3_ADAPTIVE,10,behavioral,adaptation,dispersion_event_count,available,196.0,24.7911,189.0,183.0,200.0,10
B3_ADAPTIVE,10,behavioral,adaptation,detected_white_event_count,available,1097.5,312.1033,1247.0,864.0,1356.0,10
B3_ADAPTIVE,10,behavioral,adaptation,replan_frequency_per_1000s,available,24.8831,12.7569,21.4395,14.768,25.955,10
B3_ADAPTIVE,10,behavioral,adaptation,contact_to_replan_latency,unavailable,,,,,,10
B3_ADAPTIVE,10,behavioral,coordination,arrival_front_sync_std_s,proxy,68.46,36.2742,82.45,58.8,95.0,10
B3_ADAPTIVE,10,behavioral,coordination,arrival_front_mean_s,proxy,1965.63,26.637,1958.0,1947.1,1979.4,10
B3_ADAPTIVE,10,behavioral,coordination,approach_bearing_entropy,proxy,1.162,0.1045,1.1816,1.1411,1.2481,10
B3_ADAPTIVE,10,behavioral,coordination,group_arrival_sync,proxy,68.46,36.2742,82.45,58.8,95.0,10
B3_ADAPTIVE,10,behavioral,spatial,approach_lane_entropy,proxy,1.162,0.1045,1.1816,1.1411,1.2481,10
B3_ADAPTIVE,10,behavioral,spatial,mean_visible_group_count,proxy,4.87,0.0458,4.9,4.8,4.9,10
B3_ADAPTIVE,10,behavioral,spatial,mean_group_spacing_km,proxy,59930.9,5894.6277,61174.5,54512.0,64070.0,10
B3_ADAPTIVE,10,behavioral,spatial,peak_simultaneous_visible,proxy,20.0,0.0,20.0,20.0,20.0,10
B3_ADAPTIVE,10,behavioral,spatial,visible_pairwise_dist_km_median,proxy,52.8861,8.252,54.227,48.511,58.3681,10
B3_ADAPTIVE,10,behavioral,spatial,visible_y_spread_km_median,proxy,152.3214,24.1925,155.3762,141.9697,167.7152,10
B3_ADAPTIVE,10,behavioral,spatial,visible_peak_count,proxy,20,0.0,20.0,20,20,10
B3_ADAPTIVE,10,behavioral,spatial,visible_window_start_s,proxy,1915.3,52.6935,1895.5,1882,1930,10
