episode_id,seed,trace_hash,formation_length,length_bucket,formation_width,width_bucket,formation_speed,speed_bucket,class_id,classification_method,valid
B0V2_S2_s9029,9029,31ca19995d3ae453,52438.1,MID,2561.7,LOW,7.009,MID,LENGTH_MID__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9030,9030,91753ca6346516fd,66447.4,HIGH,5673.2,HIGH,6.614,MID,LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9031,9031,e879b846bab036d4,47933.0,LOW,4052.4,MID,6.256,LOW,LENGTH_LOW__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9032,9032,644c727e6027784d,47771.5,LOW,3932.9,MID,7.57,MID,LENGTH_LOW__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9033,9033,bec0ffb3c019e892,46915.6,LOW,4261.7,HIGH,5.924,LOW,LENGTH_LOW__WIDTH_HIGH__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9034,9034,e1e45b53df1aaef8,70036.9,HIGH,6250.2,HIGH,9.71,HIGH,LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9035,9035,d5e965b31cc2577b,39781.5,LOW,3521.2,MID,9.772,HIGH,LENGTH_LOW__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9036,9036,8078a596ac4615f1,51044.8,MID,4137.1,HIGH,5.271,LOW,LENGTH_MID__WIDTH_HIGH__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9037,9037,c04c35bcb66edf73,54969.0,MID,1321.3,LOW,5.254,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9038,9038,4d4b406cd502e92e,58868.3,HIGH,3584.2,MID,7.865,MID,LENGTH_HIGH__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9039,9039,ceea2ba27bbb7285,50348.7,MID,5530.7,HIGH,7.536,MID,LENGTH_MID__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9040,9040,2aca1c5321cbb793,51933.4,MID,2223.5,LOW,7.439,MID,LENGTH_MID__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9041,9041,42856b1ba087431f,63269.7,HIGH,2716.2,LOW,9.227,HIGH,LENGTH_HIGH__WIDTH_LOW__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9042,9042,3d045a80840c703c,56633.0,HIGH,3977.8,MID,8.887,HIGH,LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9043,9043,296482732c55196a,44373.3,LOW,3384.5,MID,9.478,HIGH,LENGTH_LOW__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9044,9044,08bf5b427f9d2626,42018.7,LOW,4458.1,HIGH,7.508,MID,LENGTH_LOW__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9045,9045,cea454d0b08ecd42,46085.4,LOW,3477.5,MID,6.857,MID,LENGTH_LOW__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9046,9046,6118a8266331ffba,51863.6,MID,5316.3,HIGH,7.334,MID,LENGTH_MID__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9047,9047,322eefcfb81105cc,55072.4,MID,3604.2,MID,9.479,HIGH,LENGTH_MID__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9048,9048,265740b8464aa472,47299.4,LOW,4144.4,HIGH,8.504,HIGH,LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9049,9049,56dfc1cd275b973a,50928.6,MID,2498.1,LOW,6.221,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9050,9050,5e7af91aa2916892,60546.2,HIGH,1955.6,LOW,9.869,HIGH,LENGTH_HIGH__WIDTH_LOW__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9051,9051,55367ce0f27a695d,52586.3,MID,2533.7,LOW,8.264,HIGH,LENGTH_MID__WIDTH_LOW__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9052,9052,eb2ff18abcfdb6e0,51662.0,MID,1812.3,LOW,6.556,MID,LENGTH_MID__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
