episode_id,seed,scenario,white_version,black_profile,outcome,clean_win,breakthrough,friendly_usv_loss,enemy_kills,resolution_time,explored_area_km2,first_detection,first_lock,first_kill,reacquire_attempts,reacquire_success,first_friendly_death_time,abnormal_error,trace_path
S2_B3_s6028,6028,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,7,20,41567.0,98225.0,1844.0,7406.0,8334.0,242,241,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6028.log
S2_B3_s6029,6029,S2,W5,B3_ADAPTIVE,DEFEAT,0,1,5,19,31090.0,90600.0,1867.0,7405.0,8312.0,185,184,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6029.log
S2_B3_s6030,6030,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,1,20,35730.0,125100.0,1857.0,7432.0,8475.0,197,196,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6030.log
S2_B3_s6031,6031,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,6,20,42790.0,105375.0,1854.0,7387.0,8338.0,162,161,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6031.log
S2_B3_s6032,6032,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,6,20,38859.0,93500.0,1850.0,7400.0,8405.0,278,277,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6032.log
S2_B3_s6033,6033,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,5,20,23230.0,114875.0,1858.0,7416.0,8325.0,222,222,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6033.log
S2_B3_s6034,6034,S2,W5,B3_ADAPTIVE,DEFEAT,0,1,6,19,24797.0,103875.0,1850.0,7493.0,8459.0,228,226,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6034.log
S2_B3_s6035,6035,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,5,20,16635.0,69250.0,1858.0,7394.0,8309.0,126,126,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6035.log
S2_B3_s6036,6036,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,25920.0,110450.0,1859.0,7404.0,8305.0,146,146,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6036.log
S2_B3_s6037,6037,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,23992.0,98200.0,1860.0,7410.0,8326.0,202,202,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6037.log
S2_B3_s6038,6038,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,39903.0,92250.0,1846.0,7389.0,8327.0,215,214,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6038.log
